STATE,ZIPCODE,AGI_STUB,N1
IA,52325,1,100
IA,52325,2,90
IA,52325,3,60
IA,52325,4,40
IA,52325,5,80
IA,52325,6,0
IA,52326,1,70
IA,52326,2,70
IA,52326,3,50
IA,52326,4,20
IA,52326,5,30
IA,52326,6,0
IA,52327,1,360
IA,52327,2,360
IA,52327,3,270
IA,52327,4,190
IA,52327,5,330
IA,52327,6,50
IA,52328,1,310
IA,52328,2,170
IA,52328,3,140
IA,52328,4,160
IA,52328,5,460
IA,52328,6,200
IA,52329,1,90
IA,52329,2,90
IA,52329,3,70
IA,52329,4,50
IA,52329,5,50
IA,52329,6,0
IA,52330,1,100
IA,52330,2,80
IA,52330,3,80
IA,52330,4,40
IA,52330,5,70
IA,52330,6,0
IA,52332,1,240
IA,52332,2,220
IA,52332,3,140
IA,52332,4,120
IA,52332,5,170
IA,52332,6,0
IA,52333,1,790
IA,52333,2,500
IA,52333,3,430
IA,52333,4,460
IA,52333,5,950
IA,52333,6,270
IA,52334,1,70
IA,52334,2,30
IA,52334,3,30
IA,52334,4,20
IA,52334,5,40
IA,52334,6,0
IA,52335,1,90
IA,52335,2,100
IA,52335,3,60
IA,52335,4,20
IA,52335,5,20
IA,52335,6,0
IA,52336,1,350
IA,52336,2,250
IA,52336,3,180
IA,52336,4,150
IA,52336,5,200
IA,52336,6,30
IA,52337,1,110
IA,52337,2,120
IA,52337,3,80
IA,52337,4,50
IA,52337,5,30
IA,52337,6,0
IA,52338,1,360
IA,52338,2,240
IA,52338,3,190
IA,52338,4,190
IA,52338,5,480
IA,52338,6,210
IA,52339,1,860
IA,52339,2,660
IA,52339,3,360
IA,52339,4,170
IA,52339,5,160
IA,52339,6,0
IA,52340,1,500
IA,52340,2,530
IA,52340,3,330
IA,52340,4,240
IA,52340,5,360
IA,52340,6,60
IA,52341,1,150
IA,52341,2,100
IA,52341,3,70
IA,52341,4,60
IA,52341,5,120
IA,52341,6,50
IA,52342,1,500
IA,52342,2,470
IA,52342,3,260
IA,52342,4,150
IA,52342,5,140
IA,52342,6,0
IA,52345,1,150
IA,52345,2,140
IA,52345,3,110
IA,52345,4,90
IA,52345,5,170
IA,52345,6,0
IA,52346,1,130
IA,52346,2,130
IA,52346,3,80
IA,52346,4,80
IA,52346,5,110
IA,52346,6,0
IA,52347,1,190
IA,52347,2,190
IA,52347,3,120
IA,52347,4,90
IA,52347,5,90
IA,52347,6,0
IA,52349,1,1050
IA,52349,2,830
IA,52349,3,520
IA,52349,4,370
IA,52349,5,480
IA,52349,6,70
IA,52351,1,160
IA,52351,2,100
IA,52351,3,80
IA,52351,4,100
IA,52351,5,200
IA,52351,6,30
IA,52352,1,260
IA,52352,2,170
IA,52352,3,170
IA,52352,4,100
IA,52352,5,170
IA,52352,6,30
IA,52353,1,1460
IA,52353,2,1200
IA,52353,3,680
IA,52353,4,450
IA,52353,5,500
IA,52353,6,110
IA,52354,1,50
IA,52354,2,40
IA,52354,3,30
IA,52354,4,30
IA,52354,5,30
IA,52354,6,0
IA,52355,1,40
IA,52355,2,30
IA,52355,3,30
IA,52355,4,20
IA,52355,5,0
IA,52355,6,0
IA,52356,1,320
IA,52356,2,300
IA,52356,3,200
IA,52356,4,160
IA,52356,5,170
IA,52356,6,30
IA,52358,1,480
IA,52358,2,420
IA,52358,3,310
IA,52358,4,220
IA,52358,5,330
IA,52358,6,50
IA,52359,1,40
IA,52359,2,50
IA,52359,3,0
IA,52359,4,20
IA,52359,5,0
IA,52359,6,0
IA,52361,1,670
IA,52361,2,500
IA,52361,3,370
IA,52361,4,350
IA,52361,5,390
IA,52361,6,60
IA,52362,1,140
IA,52362,2,120
IA,52362,3,70
IA,52362,4,50
IA,52362,5,60
IA,52362,6,0
IA,52401,1,360
IA,52401,2,280
IA,52401,3,100
IA,52401,4,50
IA,52401,5,50
IA,52401,6,40
IA,52402,1,5990
IA,52402,2,4980
IA,52402,3,3170
IA,52402,4,2060
IA,52402,5,2790
IA,52402,6,570
IA,52403,1,3460
IA,52403,2,2670
IA,52403,3,1530
IA,52403,4,1080
IA,52403,5,1590
IA,52403,6,720
IA,52404,1,7090
IA,52404,2,5940
IA,52404,3,2880
IA,52404,4,1650
IA,52404,5,1940
IA,52404,6,240
IA,52405,1,3840
IA,52405,2,3550
IA,52405,3,2090
IA,52405,4,1450
IA,52405,5,1650
IA,52405,6,200
IA,52411,1,860
IA,52411,2,360
IA,52411,3,310
IA,52411,4,340
IA,52411,5,1160
IA,52411,6,670
IA,52501,1,4890
IA,52501,2,3590
IA,52501,3,1950
IA,52501,4,1180
IA,52501,5,1080
IA,52501,6,210
IA,52530,1,150
IA,52530,2,110
IA,52530,3,90
IA,52530,4,60
IA,52530,5,60
IA,52530,6,0
IA,52531,1,880
IA,52531,2,630
IA,52531,3,420
IA,52531,4,300
IA,52531,5,260
IA,52531,6,50
IA,52533,1,140
IA,52533,2,130
IA,52533,3,90
IA,52533,4,60
IA,52533,5,60
IA,52533,6,0
IA,52534,1,50
IA,52534,2,60
IA,52534,3,0
IA,52534,4,30
IA,52534,5,0
IA,52534,6,0
IA,52535,1,120
IA,52535,2,90
IA,52535,3,60
IA,52535,4,50
IA,52535,5,40
IA,52535,6,0
IA,52536,1,120
IA,52536,2,90
IA,52536,3,100
IA,52536,4,50
IA,52536,5,40
IA,52536,6,0
IA,52537,1,870
IA,52537,2,720
IA,52537,3,450
IA,52537,4,310
IA,52537,5,320
IA,52537,6,50
IA,52540,1,200
IA,52540,2,190
IA,52540,3,110
IA,52540,4,50
IA,52540,5,60
IA,52540,6,0
IA,52542,1,50
IA,52542,2,50
IA,52542,3,20
IA,52542,4,30
IA,52542,5,0
IA,52542,6,0
IA,52543,1,40
IA,52543,2,0
IA,52543,3,40
IA,52543,4,0
IA,52543,5,20
IA,52543,6,0
IA,52544,1,1280
IA,52544,2,910
IA,52544,3,460
IA,52544,4,280
IA,52544,5,240
IA,52544,6,40
IA,52549,1,120
IA,52549,2,80
IA,52549,3,30
IA,52549,4,30
IA,52549,5,20
IA,52549,6,0
IA,52550,1,80
IA,52550,2,60
IA,52550,3,30
IA,52550,4,40
IA,52550,5,0
IA,52550,6,0
IA,52551,1,110
IA,52551,2,80
IA,52551,3,50
IA,52551,4,30
IA,52551,5,20
IA,52551,6,0
IA,52552,1,90
IA,52552,2,80
IA,52552,3,50
IA,52552,4,30
IA,52552,5,30
IA,52552,6,0
IA,52553,1,250
IA,52553,2,180
IA,52553,3,130
IA,52553,4,100
IA,52553,5,80
IA,52553,6,0
IA,52554,1,230
IA,52554,2,160
IA,52554,3,90
IA,52554,4,60
IA,52554,5,30
IA,52554,6,0
IA,52555,1,50
IA,52555,2,60
IA,52555,3,0
IA,52555,4,20
IA,52555,5,0
IA,52555,6,0
IA,52556,1,2120
IA,52556,2,1330
IA,52556,3,710
IA,52556,4,510
IA,52556,5,550
IA,52556,6,170
IA,52560,1,60
IA,52560,2,50
IA,52560,3,30
IA,52560,4,30
IA,52560,5,0
IA,52560,6,0
IA,52561,1,120
IA,52561,2,120
IA,52561,3,80
IA,52561,4,50
IA,52561,5,40
IA,52561,6,0
IA,52563,1,200
IA,52563,2,150
IA,52563,3,110
IA,52563,4,80
IA,52563,5,60
IA,52563,6,0
IA,52565,1,270
IA,52565,2,220
IA,52565,3,130
IA,52565,4,100
IA,52565,5,80
IA,52565,6,30
IA,52567,1,90
IA,52567,2,70
IA,52567,3,50
IA,52567,4,30
IA,52567,5,30
IA,52567,6,0
IA,52569,1,90
IA,52569,2,70
IA,52569,3,70
IA,52569,4,0
IA,52569,5,30
IA,52569,6,0
IA,52570,1,140
IA,52570,2,110
IA,52570,3,40
IA,52570,4,40
IA,52570,5,0
IA,52570,6,0
IA,52571,1,210
IA,52571,2,190
IA,52571,3,110
IA,52571,4,70
IA,52571,5,80
IA,52571,6,0
IA,52572,1,160
IA,52572,2,110
IA,52572,3,90
IA,52572,4,30
IA,52572,5,20
IA,52572,6,0
IA,52574,1,130
IA,52574,2,80
IA,52574,3,60
IA,52574,4,30
IA,52574,5,20
IA,52574,6,0
IA,52576,1,70
IA,52576,2,60
IA,52576,3,50
IA,52576,4,20
IA,52576,5,30
IA,52576,6,0
IA,52577,1,2140
IA,52577,2,1610
IA,52577,3,1090
IA,52577,4,650
IA,52577,5,720
IA,52577,6,130
IA,52580,1,60
IA,52580,2,60
IA,52580,3,30
IA,52580,4,30
IA,52580,5,30
IA,52580,6,0
IA,52581,1,50
IA,52581,2,30
IA,52581,3,30
IA,52581,4,20
IA,52581,5,0
IA,52581,6,0
IA,52583,1,50
IA,52583,2,40
IA,52583,3,50
IA,52583,4,0
IA,52583,5,0
IA,52583,6,0
IA,52584,1,70
IA,52584,2,50
IA,52584,3,30
IA,52584,4,20
IA,52584,5,0
IA,52584,6,0
IA,52585,1,120
IA,52585,2,110
IA,52585,3,70
IA,52585,4,50
IA,52585,5,50
IA,52585,6,0
IA,52586,1,80
IA,52586,2,50
IA,52586,3,40
IA,52586,4,30
IA,52586,5,30
IA,52586,6,0
IA,52590,1,190
IA,52590,2,130
IA,52590,3,70
IA,52590,4,50
IA,52590,5,30
IA,52590,6,0
IA,52591,1,380
IA,52591,2,360
IA,52591,3,210
IA,52591,4,140
IA,52591,5,150
IA,52591,6,0
IA,52594,1,60
IA,52594,2,30
IA,52594,3,30
IA,52594,4,40
IA,52594,5,0
IA,52594,6,0
IA,52601,1,5160
IA,52601,2,3610
IA,52601,3,1960
IA,52601,4,1180
IA,52601,5,1230
IA,52601,6,290
IA,52619,1,100
IA,52619,2,80
IA,52619,3,50
IA,52619,4,30
IA,52619,5,20
IA,52619,6,0
IA,52620,1,120
IA,52620,2,110
IA,52620,3,50
IA,52620,4,30
IA,52620,5,40
IA,52620,6,0
IA,52621,1,80
IA,52621,2,110
IA,52621,3,70
IA,52621,4,40
IA,52621,5,50
IA,52621,6,0
IA,52623,1,300
IA,52623,2,210
IA,52623,3,140
IA,52623,4,120
IA,52623,5,160
IA,52623,6,0
IA,52625,1,380
IA,52625,2,300
IA,52625,3,210
IA,52625,4,140
IA,52625,5,190
IA,52625,6,0
IA,52626,1,210
IA,52626,2,140
IA,52626,3,90
IA,52626,4,50
IA,52626,5,30
IA,52626,6,0
IA,52627,1,2020
IA,52627,2,1510
IA,52627,3,810
IA,52627,4,510
IA,52627,5,520
IA,52627,6,100
IA,52630,1,50
IA,52630,2,50
IA,52630,3,20
IA,52630,4,30
IA,52630,5,0
IA,52630,6,0
IA,52632,1,2270
IA,52632,2,1310
IA,52632,3,780
IA,52632,4,460
IA,52632,5,410
IA,52632,6,70
IA,52635,1,110
IA,52635,2,90
IA,52635,3,40
IA,52635,4,50
IA,52635,5,0
IA,52635,6,0
IA,52637,1,360
IA,52637,2,280
IA,52637,3,190
IA,52637,4,170
IA,52637,5,160
IA,52637,6,40
IA,52638,1,70
IA,52638,2,70
IA,52638,3,40
IA,52638,4,40
IA,52638,5,40
IA,52638,6,0
IA,52639,1,310
IA,52639,2,230
IA,52639,3,160
IA,52639,4,100
IA,52639,5,90
IA,52639,6,0
IA,52640,1,200
IA,52640,2,160
IA,52640,3,120
IA,52640,4,60
IA,52640,5,70
IA,52640,6,0
IA,52641,1,1790
IA,52641,2,1480
IA,52641,3,770
IA,52641,4,530
IA,52641,5,560
IA,52641,6,110
IA,52644,1,50
IA,52644,2,50
IA,52644,3,30
IA,52644,4,20
IA,52644,5,30
IA,52644,6,0
IA,52645,1,460
IA,52645,2,380
IA,52645,3,220
IA,52645,4,170
IA,52645,5,200
IA,52645,6,0
IA,52646,1,50
IA,52646,2,60
IA,52646,3,20
IA,52646,4,20
IA,52646,5,20
IA,52646,6,0
IA,52649,1,140
IA,52649,2,120
IA,52649,3,70
IA,52649,4,50
IA,52649,5,50
IA,52649,6,0
IA,52650,1,100
IA,52650,2,100
IA,52650,3,80
IA,52650,4,60
IA,52650,5,80
IA,52650,6,0
IA,52651,1,90
IA,52651,2,80
IA,52651,3,50
IA,52651,4,30
IA,52651,5,20
IA,52651,6,0
IA,52653,1,500
IA,52653,2,390
IA,52653,3,220
IA,52653,4,190
IA,52653,5,200
IA,52653,6,20
IA,52654,1,220
IA,52654,2,210
IA,52654,3,120
IA,52654,4,90
IA,52654,5,70
IA,52654,6,0
IA,52655,1,740
IA,52655,2,540
IA,52655,3,330
IA,52655,4,210
IA,52655,5,200
IA,52655,6,50
IA,52656,1,290
IA,52656,2,270
IA,52656,3,160
IA,52656,4,150
IA,52656,5,190
IA,52656,6,30
IA,52658,1,140
IA,52658,2,120
IA,52658,3,80
IA,52658,4,70
IA,52658,5,90
IA,52658,6,0
IA,52659,1,190
IA,52659,2,180
IA,52659,3,110
IA,52659,4,80
IA,52659,5,90
IA,52659,6,0
IA,52660,1,30
IA,52660,2,30
IA,52660,3,20
IA,52660,4,30
IA,52660,5,0
IA,52660,6,0
IA,52720,1,130
IA,52720,2,120
IA,52720,3,70
IA,52720,4,60
IA,52720,5,60
IA,52720,6,0
IA,52721,1,90
IA,52721,2,80
IA,52721,3,70
IA,52721,4,50
IA,52721,5,70
IA,52721,6,0
IA,52722,1,5100
IA,52722,2,3400
IA,52722,3,2540
IA,52722,4,2100
IA,52722,5,3920
IA,52722,6,1770
IA,52726,1,500
IA,52726,2,390
IA,52726,3,340
IA,52726,4,320
IA,52726,5,580
IA,52726,6,80
IA,52727,1,60
IA,52727,2,30
IA,52727,3,50
IA,52727,4,30
IA,52727,5,30
IA,52727,6,0
IA,52729,1,140
IA,52729,2,80
IA,52729,3,90
IA,52729,4,50
IA,52729,5,50
IA,52729,6,0
IA,52730,1,780
IA,52730,2,570
IA,52730,3,430
IA,52730,4,270
IA,52730,5,320
IA,52730,6,30
IA,52731,1,110
IA,52731,2,100
IA,52731,3,60
IA,52731,4,40
IA,52731,5,60
IA,52731,6,0
IA,52732,1,4630
IA,52732,2,2970
IA,52732,3,1750
IA,52732,4,1090
IA,52732,5,1230
IA,52732,6,170
IA,52737,1,50
IA,52737,2,70
IA,52737,3,30
IA,52737,4,30
IA,52737,5,0
IA,52737,6,0
IA,52738,1,410
IA,52738,2,540
IA,52738,3,260
IA,52738,4,180
IA,52738,5,140
IA,52738,6,20
IA,52739,1,100
IA,52739,2,110
IA,52739,3,60
IA,52739,4,40
IA,52739,5,20
IA,52739,6,0
IA,52742,1,1030
IA,52742,2,740
IA,52742,3,510
IA,52742,4,490
IA,52742,5,670
IA,52742,6,130
IA,52745,1,90
IA,52745,2,80
IA,52745,3,50
IA,52745,4,40
IA,52745,5,50
IA,52745,6,0
IA,52746,1,130
IA,52746,2,80
IA,52746,3,70
IA,52746,4,60
IA,52746,5,100
IA,52746,6,0
IA,52747,1,320
IA,52747,2,240
IA,52747,3,190
IA,52747,4,140
IA,52747,5,180
IA,52747,6,30
IA,52748,1,1230
IA,52748,2,820
IA,52748,3,620
IA,52748,4,550
IA,52748,5,1010
IA,52748,6,240
IA,52749,1,120
IA,52749,2,100
IA,52749,3,80
IA,52749,4,60
IA,52749,5,110
IA,52749,6,0
IA,52750,1,80
IA,52750,2,70
IA,52750,3,40
IA,52750,4,40
IA,52750,5,40
IA,52750,6,0
IA,52751,1,130
IA,52751,2,150
IA,52751,3,90
IA,52751,4,70
IA,52751,5,80
IA,52751,6,0
IA,52753,1,700
IA,52753,2,430
IA,52753,3,380
IA,52753,4,350
IA,52753,5,680
IA,52753,6,240
IA,52754,1,160
IA,52754,2,150
IA,52754,3,110
IA,52754,4,70
IA,52754,5,100
IA,52754,6,0
IA,52755,1,280
IA,52755,2,270
IA,52755,3,150
IA,52755,4,100
IA,52755,5,170
IA,52755,6,0
IA,52756,1,260
IA,52756,2,170
IA,52756,3,140
IA,52756,4,160
IA,52756,5,240
IA,52756,6,50
IA,52760,1,70
IA,52760,2,70
IA,52760,3,50
IA,52760,4,50
IA,52760,5,50
IA,52760,6,0
IA,52761,1,4760
IA,52761,2,3840
IA,52761,3,2200
IA,52761,4,1450
IA,52761,5,1680
IA,52761,6,380
IA,52765,1,60
IA,52765,2,40
IA,52765,3,40
IA,52765,4,30
IA,52765,5,30
IA,52765,6,0
IA,52766,1,110
IA,52766,2,110
IA,52766,3,70
IA,52766,4,30
IA,52766,5,60
IA,52766,6,0
IA,52768,1,190
IA,52768,2,130
IA,52768,3,130
IA,52768,4,90
IA,52768,5,150
IA,52768,6,0
IA,52769,1,80
IA,52769,2,70
IA,52769,3,50
IA,52769,4,20
IA,52769,5,50
IA,52769,6,0
IA,52772,1,660
IA,52772,2,590
IA,52772,3,420
IA,52772,4,280
IA,52772,5,350
IA,52772,6,60
IA,52773,1,330
IA,52773,2,270
IA,52773,3,190
IA,52773,4,150
IA,52773,5,150
IA,52773,6,30
IA,52776,1,710
IA,52776,2,660
IA,52776,3,380
IA,52776,4,230
IA,52776,5,290
IA,52776,6,40
IA,52777,1,190
IA,52777,2,170
IA,52777,3,120
IA,52777,4,60
IA,52777,5,70
IA,52777,6,0
IA,52778,1,500
IA,52778,2,460
IA,52778,3,330
IA,52778,4,240
IA,52778,5,300
IA,52778,6,30
IA,52801,1,280
IA,52801,2,190
IA,52801,3,90
IA,52801,4,40
IA,52801,5,40
IA,52801,6,0
IA,52802,1,2210
IA,52802,2,1360
IA,52802,3,530
IA,52802,4,220
IA,52802,5,140
IA,52802,6,0
IA,52803,1,3870
IA,52803,2,2630
IA,52803,3,1500
IA,52803,4,840
IA,52803,5,1010
IA,52803,6,200
IA,52804,1,4510
IA,52804,2,3300
IA,52804,3,2020
IA,52804,4,1190
IA,52804,5,1150
IA,52804,6,130
IA,52806,1,4610
IA,52806,2,3290
IA,52806,3,2080
IA,52806,4,1430
IA,52806,5,1690
IA,52806,6,140
IA,52807,1,2310
IA,52807,2,1490
IA,52807,3,910
IA,52807,4,740
IA,52807,5,1480
IA,52807,6,570
IA,99999,1,5170
IA,99999,2,4250
IA,99999,3,2480
IA,99999,4,1410
IA,99999,5,1190
IA,99999,6,180
KS,0,1,447530
KS,0,2,324940
KS,0,3,191470
KS,0,4,127610
KS,0,5,172480
KS,0,6,49290
KS,66002,1,2170
KS,66002,2,1280
KS,66002,3,790
KS,66002,4,490
KS,66002,5,510
KS,66002,6,120
KS,66006,1,1090
KS,66006,2,770
KS,66006,3,510
KS,66006,4,400
KS,66006,5,530
KS,66006,6,130
KS,66007,1,1070
KS,66007,2,780
KS,66007,3,650
KS,66007,4,620
KS,66007,5,1160
KS,66007,6,190
KS,66008,1,40
KS,66008,2,50
KS,66008,3,0
KS,66008,4,30
KS,66008,5,0
KS,66008,6,0
KS,66010,1,110
KS,66010,2,50
KS,66010,3,30
KS,66010,4,40
KS,66010,5,0
KS,66010,6,0
KS,66012,1,1490
KS,66012,2,1240
KS,66012,3,740
KS,66012,4,510
KS,66012,5,780
KS,66012,6,120
KS,66013,1,290
KS,66013,2,170
KS,66013,3,110
KS,66013,4,80
KS,66013,5,210
KS,66013,6,180
KS,66014,1,50
KS,66014,2,30
KS,66014,3,30
KS,66014,4,40
KS,66014,5,0
KS,66014,6,0
KS,66015,1,130
KS,66015,2,80
KS,66015,3,60
KS,66015,4,30
KS,66015,5,20
KS,66015,6,0
KS,66016,1,90
KS,66016,2,50
KS,66016,3,50
KS,66016,4,30
KS,66016,5,40
KS,66016,6,0
KS,66017,1,40
KS,66017,2,30
KS,66017,3,40
KS,66017,4,0
KS,66017,5,30
KS,66017,6,0
KS,66018,1,920
KS,66018,2,630
KS,66018,3,360
KS,66018,4,290
KS,66018,5,510
KS,66018,6,150
KS,66020,1,210
KS,66020,2,160
KS,66020,3,120
KS,66020,4,110
KS,66020,5,160
KS,66020,6,0
KS,66021,1,370
KS,66021,2,300
KS,66021,3,240
KS,66021,4,150
KS,66021,5,180
KS,66021,6,40
KS,66023,1,160
KS,66023,2,120
KS,66023,3,100
KS,66023,4,60
KS,66023,5,50
KS,66023,6,0
KS,66025,1,1090
KS,66025,2,820
KS,66025,3,560
KS,66025,4,400
KS,66025,5,570
KS,66025,6,100
KS,66026,1,90
KS,66026,2,80
KS,66026,3,60
KS,66026,4,30
KS,66026,5,40
KS,66026,6,0
KS,66027,1,300
KS,66027,2,370
KS,66027,3,260
KS,66027,4,390
KS,66027,5,340
KS,66027,6,0
KS,66030,1,2910
KS,66030,2,2470
KS,66030,3,1720
KS,66030,4,1440
KS,66030,5,1760
KS,66030,6,180
KS,66032,1,800
KS,66032,2,550
KS,66032,3,340
KS,66032,4,220
KS,66032,5,180
KS,66032,6,40
KS,66033,1,120
KS,66033,2,80
KS,66033,3,40
KS,66033,4,30
KS,66033,5,50
KS,66033,6,0
KS,66035,1,130
KS,66035,2,100
KS,66035,3,70
KS,66035,4,60
KS,66035,5,50
KS,66035,6,0
KS,66039,1,90
KS,66039,2,70
KS,66039,3,40
KS,66039,4,40
KS,66039,5,0
KS,66039,6,0
KS,66040,1,580
KS,66040,2,360
KS,66040,3,270
KS,66040,4,180
KS,66040,5,160
KS,66040,6,30
KS,66041,1,130
KS,66041,2,80
KS,66041,3,60
KS,66041,4,30
KS,66041,5,40
KS,66041,6,0
KS,66042,1,130
KS,66042,2,90
KS,66042,3,60
KS,66042,4,40
KS,66042,5,50
KS,66042,6,0
KS,66043,1,1360
KS,66043,2,900
KS,66043,3,590
KS,66043,4,510
KS,66043,5,830
KS,66043,6,140
KS,66044,1,4500
KS,66044,2,2990
KS,66044,3,1330
KS,66044,4,740
KS,66044,5,910
KS,66044,6,310
KS,66046,1,3550
KS,66046,2,2420
KS,66046,3,1100
KS,66046,4,740
KS,66046,5,750
KS,66046,6,110
KS,66047,1,3090
KS,66047,2,2110
KS,66047,3,1160
KS,66047,4,820
KS,66047,5,1300
KS,66047,6,590
KS,66048,1,5090
KS,66048,2,3960
KS,66048,3,2220
KS,66048,4,1590
KS,66048,5,2070
KS,66048,6,300
KS,66049,1,4140
KS,66049,2,3020
KS,66049,3,2020
KS,66049,4,1550
KS,66049,5,2710
KS,66049,6,1010
KS,66050,1,270
KS,66050,2,220
KS,66050,3,150
KS,66050,4,90
KS,66050,5,140
KS,66050,6,40
KS,66052,1,260
KS,66052,2,200
KS,66052,3,150
KS,66052,4,110
KS,66052,5,190
KS,66052,6,40
KS,66053,1,1090
KS,66053,2,660
KS,66053,3,550
KS,66053,4,460
KS,66053,5,790
KS,66053,6,210
KS,66054,1,430
KS,66054,2,310
KS,66054,3,210
KS,66054,4,180
KS,66054,5,210
KS,66054,6,0
KS,66056,1,310
KS,66056,2,170
KS,66056,3,120
KS,66056,4,70
KS,66056,5,90
KS,66056,6,0
KS,66058,1,60
KS,66058,2,40
KS,66058,3,20
KS,66058,4,30
KS,66058,5,0
KS,66058,6,0
KS,66060,1,150
KS,66060,2,130
KS,66060,3,80
KS,66060,4,60
KS,66060,5,50
KS,66060,6,0
KS,66061,1,7880
KS,66061,2,6080
KS,66061,3,3750
KS,66061,4,2950
KS,66061,5,5800
KS,66061,6,1840
KS,66062,1,9460
KS,66062,2,6500
KS,66062,3,4800
KS,66062,4,4330
KS,66062,5,8350
KS,66062,6,1780
KS,66064,1,1040
KS,66064,2,700
KS,66064,3,360
KS,66064,4,220
KS,66064,5,210
KS,66064,6,30
KS,66066,1,350
KS,66066,2,290
KS,66066,3,190
KS,66066,4,160
KS,66066,5,200
KS,66066,6,0
KS,66067,1,2630
KS,66067,2,1930
KS,66067,3,1070
KS,66067,4,740
KS,66067,5,680
KS,66067,6,120
KS,66070,1,340
KS,66070,2,260
KS,66070,3,220
KS,66070,4,170
KS,66070,5,210
KS,66070,6,30
KS,66071,1,1820
KS,66071,2,1270
KS,66071,3,920
KS,66071,4,660
KS,66071,5,920
KS,66071,6,170
KS,66072,1,150
KS,66072,2,110
KS,66072,3,80
KS,66072,4,60
KS,66072,5,60
KS,66072,6,0
KS,66073,1,350
KS,66073,2,260
KS,66073,3,170
KS,66073,4,140
KS,66073,5,150
KS,66073,6,30
KS,66075,1,350
KS,66075,2,220
KS,66075,3,130
KS,66075,4,90
KS,66075,5,80
KS,66075,6,0
KS,66076,1,310
KS,66076,2,260
KS,66076,3,160
KS,66076,4,130
KS,66076,5,110
KS,66076,6,0
KS,66078,1,160
KS,66078,2,110
KS,66078,3,90
KS,66078,4,50
KS,66078,5,50
KS,66078,6,0
KS,66079,1,120
KS,66079,2,90
KS,66079,3,80
KS,66079,4,40
KS,66079,5,50
KS,66079,6,0
KS,66080,1,180
KS,66080,2,140
KS,66080,3,70
KS,66080,4,50
KS,66080,5,60
KS,66080,6,0
KS,66083,1,1360
KS,66083,2,840
KS,66083,3,720
KS,66083,4,650
KS,66083,5,1090
KS,66083,6,210
KS,66085,1,1120
KS,66085,2,550
KS,66085,3,410
KS,66085,4,370
KS,66085,5,1270
KS,66085,6,940
KS,66086,1,1340
KS,66086,2,970
KS,66086,3,750
KS,66086,4,620
KS,66086,5,940
KS,66086,6,130
KS,66087,1,320
KS,66087,2,220
KS,66087,3,180
KS,66087,4,110
KS,66087,5,110
KS,66087,6,0
KS,66088,1,310
KS,66088,2,270
KS,66088,3,180
KS,66088,4,140
KS,66088,5,140
KS,66088,6,0
KS,66090,1,410
KS,66090,2,280
KS,66090,3,160
KS,66090,4,140
KS,66090,5,140
KS,66090,6,0
KS,66091,1,80
KS,66091,2,60
KS,66091,3,0
KS,66091,4,20
KS,66091,5,0
KS,66091,6,0
KS,66092,1,550
KS,66092,2,430
KS,66092,3,360
KS,66092,4,240
KS,66092,5,300
KS,66092,6,50
KS,66093,1,120
KS,66093,2,50
KS,66093,3,70
KS,66093,4,0
KS,66093,5,40
KS,66093,6,0
KS,66094,1,70
KS,66094,2,40
KS,66094,3,40
KS,66094,4,30
KS,66094,5,0
KS,66094,6,0
KS,66095,1,150
KS,66095,2,100
KS,66095,3,70
KS,66095,4,40
KS,66095,5,50
KS,66095,6,0
KS,66097,1,170
KS,66097,2,100
KS,66097,3,80
KS,66097,4,60
KS,66097,5,70
KS,66097,6,0
KS,66101,1,2450
KS,66101,2,1470
KS,66101,3,370
KS,66101,4,120
KS,66101,5,70
KS,66101,6,0
KS,66102,1,5610
KS,66102,2,3960
KS,66102,3,1220
KS,66102,4,440
KS,66102,5,270
KS,66102,6,30
KS,66103,1,2230
KS,66103,2,2090
KS,66103,3,900
KS,66103,4,320
KS,66103,5,230
KS,66103,6,30
KS,66104,1,5260
KS,66104,2,3770
KS,66104,3,1380
KS,66104,4,530
KS,66104,5,300
KS,66104,6,0
KS,66105,1,500
KS,66105,2,340
KS,66105,3,90
KS,66105,4,30
KS,66105,5,0
KS,66105,6,0
KS,66106,1,4260
KS,66106,2,3510
KS,66106,3,1620
KS,66106,4,760
KS,66106,5,600
KS,66106,6,40
KS,66109,1,3170
KS,66109,2,2920
KS,66109,3,2020
KS,66109,4,1380
KS,66109,5,2210
KS,66109,6,290
KS,66111,1,1440
KS,66111,2,1180
KS,66111,3,640
KS,66111,4,390
KS,66111,5,360
KS,66111,6,30
KS,66112,1,2320
KS,66112,2,2100
KS,66112,3,890
KS,66112,4,400
KS,66112,5,350
KS,66112,6,30
KS,66202,1,2580
KS,66202,2,2710
KS,66202,3,1830
KS,66202,4,1040
KS,66202,5,1060
KS,66202,6,220
KS,66203,1,3210
KS,66203,2,2810
KS,66203,3,1780
KS,66203,4,1040
KS,66203,5,1140
KS,66203,6,100
KS,66204,1,2710
KS,66204,2,3100
KS,66204,3,1880
KS,66204,4,980
KS,66204,5,850
KS,66204,6,120
KS,66205,1,1580
KS,66205,2,1390
KS,66205,3,1320
KS,66205,4,850
KS,66205,5,1280
KS,66205,6,810
KS,66206,1,1020
KS,66206,2,530
KS,66206,3,480
KS,66206,4,400
KS,66206,5,1310
KS,66206,6,1350
KS,66207,1,1670
KS,66207,2,1110
KS,66207,3,940
KS,66207,4,790
